"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"


"2009","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,968 ","  15,039 ","  20,664 ","  14,820 ","  58,491 ","  5,441 ","  63,932 ","  8,849.98 "
"2010","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  8,709 ","  17,064 ","  24,552 ","  16,936 ","  67,260 ","  8,155 ","  75,415 ","  10,538.72 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2011","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,350 ","  18,699 ","  25,248 ","  19,561 ","  73,857 ","  8,379 ","  82,236 ","  11,366.42 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2012","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,093 ","  18,271 ","  28,918 ","  22,163 ","  79,445 ","  7,692 ","  87,137 ","  11,930.09 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2013","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  22,502 ","  22,810 ","  34,802 ","  25,277 ","  105,390 ","  8,199 ","  113,589 ","  14,945.90 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2014","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  20,513 ","  21,189 ","  35,854 ","  27,228 ","  104,783 ","  7,816 ","  112,599 ","  14,672.84 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2015","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  17,070 ","  7,380 ","  33,373 ","  30,002 ","  87,825 ","  5,769 ","  93,594 ","  12,086.05 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária"
"2016","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  20,474 ","  15,102 ","  37,151 ","  31,255 ","  103,981 ","  8,729 ","  112,711 ","  14,427.88 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária"
"2017","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  11,657 ","  21,416 ","  38,757 ","  33,922 ","  105,753 ","  9,481 ","  115,234 ","  14,630.97 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Indústrias de transformação"
"2018","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,101 ","  34,241 ","  47,285 ","  34,096 ","  125,723 ","  15,143 ","  140,866 ","  17,822.11 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2019","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,252 ","  45,646 ","  53,713 ","  34,788 ","  146,399 ","  17,593 ","  163,993 ","  20,560.75 ","Demais serviços","Indústrias de transformação","Administração, defesa, educação e saúde públicas e seguridade social"

"2002","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,329 ","  2,071 ","  8,495 ","  10,597 ","  23,493 ","  1,015 ","  24,508 ","  2,036.73 "
"2003","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,839 ","  3,626 ","  9,428 ","  11,895 ","  27,788 ","  1,254 ","  29,042 ","  2,300.93 "
"2004","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,400 ","  3,080 ","  9,904 ","  13,595 ","  29,980 ","  1,269 ","  31,249 ","  2,365.36 "
"2005","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,560 ","  2,826 ","  12,536 ","  16,256 ","  35,178 ","  2,139 ","  37,317 ","  2,703.71 "
"2006","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,223 ","  3,027 ","  14,850 ","  19,456 ","  40,556 ","  2,544 ","  43,101 ","  2,995.40 "
"2007","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,686 ","  3,189 ","  13,733 ","  19,122 ","  39,730 ","  1,752 ","  41,483 ","  3,632.15 "
"2008","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,961 ","  5,093 ","  20,198 ","  23,184 ","  52,437 ","  3,521 ","  55,958 ","  4,702.79 "
"2009","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  4,609 ","  6,664 ","  24,715 ","  24,134 ","  60,121 ","  4,893 ","  65,014 ","  5,404.75 "
"2010","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,201 ","  7,628 ","  26,853 ","  28,315 ","  68,997 ","  5,246 ","  74,243 ","  5,618.53 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2011","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,526 ","  10,709 ","  31,912 ","  31,431 ","  81,579 ","  6,094 ","  87,674 ","  6,544.75 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2012","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  8,772 ","  9,236 ","  40,993 ","  35,239 ","  94,240 ","  6,684 ","  100,924 ","  7,424.13 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2013","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,306 ","  11,563 ","  52,941 ","  41,783 ","  116,594 ","  7,786 ","  124,380 ","  8,745.61 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2014","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  11,449 ","  11,324 ","  60,481 ","  48,367 ","  131,621 ","  9,519 ","  141,139 ","  9,783.01 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2015","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,123 ","  12,143 ","  58,882 ","  53,655 ","  136,803 ","  9,513 ","  146,315 ","  10,005.15 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2016","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  16,902 ","  15,786 ","  57,813 ","  54,865 ","  145,367 ","  9,248 ","  154,615 ","  10,439.17 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
